First Name,Last Name,Email,Professional Phone Number,Matricule,Position,Net Salary,Salary Grade,Contract End Date,Department,Service,Role,Status,Password,Remaining Leave Days,Monthly Leave Allocation,Receive SMS Notifications,Personal Phone Number,Work Start Time,Work End Time,Receive Email Notifications,Alternative Email,Date of Birth
Adrien Schultz,Treva Aufderhar,madge.kuhn@hotmail.com,+1.283.343.0703,76760882,Employee,50001,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,954.554.3569,08:00,17:00,1,,1981-02-02
Thelma Kunde,Retha Sauer,lschaefer@yahoo.com,423-308-6718,56334887,Employee,50002,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,(234) 894-7611,08:00,17:00,1,,1982-03-03
Marilyne Mann,Ariel Hartmann,murray.jacey@schaden.net,689.552.2861,18897346,Employee,50003,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,1-813-371-0933,08:00,17:00,1,,1983-04-04
Emiliano White,Prof. Savanna Pfannerstill DDS,angelina.koelpin@koepp.com,+15867440298,71877712,Employee,50004,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,484-218-6300,08:00,17:00,1,,1984-05-05
Leonie Powlowski,Elvis Beier,evans97@ondricka.com,+1-219-751-1128,88410435,Employee,50005,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,(870) 725-5215,08:00,17:00,1,,1985-06-06
Alisha Waters,Verdie Zieme,oconner.jed@damore.com,(843) 894-8647,2874031,Employee,50006,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,1-786-357-6415,08:00,17:00,1,,1986-07-07
Lynn Larson,Kaylah DuBuque II,mariana14@hotmail.com,+1 (202) 374-9732,51487851,Employee,50007,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,747-641-1079,08:00,17:00,1,,1987-08-08
Kasandra Conn,Prof. Zakary Becker II,raynor.hailee@gmail.com,+1 (949) 662-1850,12180720,Employee,50008,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,33,2.5,0,+1 (203) 601-0971,08:00,17:00,1,,1988-09-09
Walton Runte,Alba Murazik,pfannerstill.stone@hotmail.com,+1-573-649-3836,43369910,Employee,50009,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,34,2.5,1,+1 (253) 270-1028,08:00,17:00,1,,1989-10-10
Bernadette Botsford,Fidel Rutherford,reichert.esmeralda@hotmail.com,+1 (781) 991-6511,31177228,Employee,50010,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,25,2.5,0,+1.640.312.9714,08:00,17:00,1,,1990-11-11
Ottis Balistreri,Destiney Crona II,yorn@ondricka.com,580-875-3010,9526620,Employee,50011,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,26,2.5,1,(623) 699-9305,08:00,17:00,1,,1991-12-12
Roger Jast,Fredy Tromp,dave.smith@hotmail.com,+1.413.871.4216,56150844,Employee,50012,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,717-221-4314,08:00,17:00,1,,1992-01-13
Justus Jacobson,Mr. Sterling Pfeffer,prosacco.kaleb@murray.com,772-636-5939,40742603,Employee,50013,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,1,+1 (781) 232-0202,08:00,17:00,1,,1993-02-14
Alfreda Ward,Ms. Icie Hudson,remmerich@hilpert.net,458-654-3671,99378290,Employee,50014,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,29,2.5,0,+1 (316) 668-8007,08:00,17:00,1,,1994-03-15
Eloisa Keeling,Makenna Ryan,zackary.kub@keebler.com,762-369-4095,69169469,Employee,50015,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,30,2.5,1,+1-253-290-6430,08:00,17:00,1,,1995-04-16
Mercedes Rosenbaum,Roxane Connelly,ryann01@treutel.net,+1 (385) 323-7602,88645529,Employee,50016,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,31,2.5,0,+1 (364) 268-5605,08:00,17:00,1,,1996-05-17
Carmela Schaden,Silas Batz,mac.hettinger@hane.com,858.451.2113,11919141,Employee,50017,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,32,2.5,1,1-865-264-4598,08:00,17:00,1,,1997-06-18
Adella Von,Erwin Schmidt,lloyd.bahringer@spencer.biz,+15512134278,95776131,Employee,50018,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,33,2.5,0,+1.502.300.7745,08:00,17:00,1,,1998-07-19
Heloise Macejkovic,Zoila Gutkowski,tmoore@hotmail.com,878.867.5275,62578253,Employee,50019,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,1,1-240-625-2433,08:00,17:00,1,,1999-08-20
Iliana Abernathy DVM,King Steuber,knienow@yahoo.com,(256) 386-4869,60143037,Employee,50020,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,25,2.5,0,(260) 762-1591,08:00,17:00,1,,1980-09-21
Clair Pouros,Lawson Schultz,jake.bernhard@wyman.com,+1-843-404-5559,37620706,Employee,50021,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,26,2.5,1,+18482655398,08:00,17:00,1,,1981-10-22
Marguerite Predovic,Darryl Padberg,hwitting@gmail.com,+1-646-382-3771,15710060,Employee,50022,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,27,2.5,0,669-243-7443,08:00,17:00,1,,1982-11-23
Serenity Rodriguez,Erica Green V,odietrich@gmail.com,838-256-9667,4229307,Employee,50023,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,28,2.5,1,417.340.9980,08:00,17:00,1,,1983-12-24
Aliyah Bruen,Elroy Rowe,aufderhar.cassandra@gmail.com,+1-240-208-7913,53962533,Employee,50024,Standard,2026-12-31,Human Resources,HR Operations,employee,1,password123,29,2.5,0,+1.319.680.1282,08:00,17:00,1,,1984-01-25
Caitlyn Kilback,Murray Pouros,evalyn.skiles@mckenzie.info,+1-731-789-8563,4183680,Employee,50025,Standard,2026-12-31,Human Resources,Recruitment,employee,1,password123,30,2.5,1,+1 (515) 356-8441,08:00,17:00,1,,1985-02-26
Emmitt Hand,Clemens Ritchie MD,krystal95@hotmail.com,+1 (813) 969-2380,37619098,Employee,50026,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,435.887.9534,08:00,17:00,1,,1986-03-27
Issac Herzog,Carolyne Doyle MD,sbashirian@gmail.com,+1-331-999-7263,93978834,Employee,50027,Standard,2026-12-31,IT Department,Project Management,employee,1,password123,32,2.5,1,702-319-9795,08:00,17:00,1,,1987-04-28
