First Name,Last Name,Email,Professional Phone Number,Matricule,Position,Net Salary,Salary Grade,Contract End Date,Department,Service,Role,Status,Password,Remaining Leave Days,Monthly Leave Allocation,Receive SMS Notifications,Personal Phone Number,Work Start Time,Work End Time,Receive Email Notifications,Alternative Email,Date of Birth
ABANA,AMBROISE,abana.ambroise@corp.com,1-517-439-8268,ENY022,Quality Assurance Engineer,72142,Manager,2026-12-31,Operations,Field Operations,employee,1,password123,25,2.5,1,1-682-565-9300,08:00,17:00,1,,1991-12-04
ABANGONG,NZANG LESLIE PATRICIA,abangong.nzang.leslie.patricia@enterprise.com,+19454165058,ENY351,Project Manager,88054,Executive,2026-12-31,Sales,Business Development,employee,1,password123,26,2.5,1,(521) 245-1778,08:00,17:00,1,,1986-01-01
ABENA,ATANGANA ISIDORE,abena.atangana.isidore@company.com,+16638965868,ENY043,HR Manager,64413,Lead,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,1,+19034753914,08:00,17:00,1,,1996-07-20
ABENA,EBE STEVE LOIC,abena.ebe.steve.loic@corp.com,+14889597112,ENY247,Project Manager,81920,Executive,2026-12-31,Human Resources,Recruitment,employee,1,password123,28,2.5,0,+12885100897,08:00,17:00,1,,1988-09-05
ABENAM,BALLA FERDINAND LOIC,abenam.balla.ferdinand.loic@enterprise.com,(764) 664-4611,ENY229,Data Analyst,68809,Manager,2026-12-31,Human Resources,Recruitment,employee,1,password123,29,2.5,1,+14336212988,08:00,17:00,1,,1989-03-02
ABOMO,OWOUNDI VANESSA,abomo.owoundi.vanessa@group.com,+14622352040,ENY003,Technical Writer,42306,Standard,2026-12-31,Finance,Accounting,employee,1,password123,30,2.5,0,+17053089979,08:00,17:00,1,,1987-03-18
ADIDIGUE,KATHIA MAYEVA,adidigue.kathia.mayeva@company.com,+18985035517,ENY006,Project Manager,89374,Executive,2026-12-31,IT Department,Project Management,employee,1,password123,31,2.5,1,(567) 845-1459,08:00,17:00,1,,1984-08-20
AFIA,YVES WILLIAM,afia.yves.william@corp.com,1-378-312-3766,ENY282,UI/UX Designer,60313,Lead,2026-12-31,Sales,Direct Sales,employee,1,password123,32,2.5,0,1-910-130-4954,08:00,17:00,1,,1989-10-29
AMA,MBONI PARICE ANICET,ama.mboni.parice.anicet@group.com,+18898166856,ENY016,Business Analyst,50299,Senior,2026-12-31,Human Resources,Recruitment,employee,1,password123,33,2.5,1,+12177897654,08:00,17:00,1,,1996-05-22
AMANG,A BAKO MICHEL ELVIS,amang.a.bako.michel.elvis@group.com,1-719-724-1017,ENY307,Database Administrator,95552,Executive,2026-12-31,Marketing,Brand Management,employee,1,password123,34,2.5,1,1-828-209-9085,08:00,17:00,1,,1990-05-20
AMBADIANG,BONOHO ETIENNE,ambadiang.bonoho.etienne@company.com,+1.353.465.7419,ENY333,Technical Writer,99050,Executive,2026-12-31,Operations,Customer Service,employee,1,password123,25,2.5,0,+1.685.317.4963,08:00,17:00,1,,1993-03-30
AMBASSA,BOUNOUNG CHRISTIAN GUILLAUME,ambassa.bounoung.christian.guillaume@company.com,(276) 872-9058,ENY071,Quality Assurance Engineer,63323,Lead,2026-12-31,Finance,Budgeting,employee,1,password123,26,2.5,1,(697) 488-7354,08:00,17:00,1,,1988-11-27
AMOUGOU,ZANG LUCIEN IV,amougou.zang.lucien.iv@group.com,1-268-600-2915,ENY072,Accountant,58015,Lead,2026-12-31,Human Resources,HR Operations,employee,1,password123,27,2.5,0,(555) 496-7296,08:00,17:00,1,,1999-09-27
ASSAKO,ABENA VICTOR NARCISSE,assako.abena.victor.narcisse@business.com,+17436667990,ENY368,Operations Manager,59180,Senior,2026-12-31,Marketing,Digital Marketing,employee,1,password123,28,2.5,1,+12522677293,08:00,17:00,1,,1983-11-19
ASSIGA,GENEVIEVE GHISLAINE,assiga.genevieve.ghislaine@group.com,+18339806062,ENY316,Accountant,55404,Senior,2026-12-31,IT Department,Project Management,employee,1,password123,29,2.5,1,+1.956.242.7305,08:00,17:00,1,,1997-03-18
ATANGANA,VALENTIN,atangana.valentin@enterprise.com,(366) 251-4673,ENY250,Operations Manager,72534,Manager,2026-12-31,Sales,Direct Sales,employee,1,password123,30,2.5,1,+1.282.781.9532,08:00,17:00,1,,1994-12-31
AWANA,EBODE GUILLAUME ALEXIS,awana.ebode.guillaume.alexis@business.com,(506) 464-3571,ENY267,HR Manager,59289,Senior,2026-12-31,IT Department,Development Team,employee,1,password123,31,2.5,0,(960) 168-2244,08:00,17:00,1,,1996-08-24
AYE,ZE AURLUS BERENGER,aye.ze.aurlus.berenger@business.com,+15191031123,ENY281,Business Analyst,79329,Manager,2026-12-31,Marketing,Digital Marketing,employee,1,password123,32,2.5,1,+17122855558,08:00,17:00,1,,1985-06-29
AYIKA,NJIALE AURORE PAMELA,ayika.njiale.aurore.pamela@business.com,(484) 130-6922,ENY027,Marketing Specialist,73089,Manager,2026-12-31,Finance,Accounting,employee,1,password123,33,2.5,0,1-485-825-6657,08:00,17:00,1,,1980-01-05
BALLA,EFFALA JEAN,balla.effala.jean@enterprise.com,1-644-319-4980,ENY345,Business Analyst,91208,Executive,2026-12-31,IT Department,Development Team,employee,1,password123,34,2.5,0,+13632464706,08:00,17:00,1,,1992-09-18
BEBEDI,EBELLE ROBERT RODRIGUE,bebedi.ebelle.robert.rodrigue@corp.com,+1.959.660.8113,ENY074,Accountant,96746,Executive,2026-12-31,Finance,Accounting,employee,1,password123,25,2.5,0,1-512-788-6046,08:00,17:00,1,,1983-09-03
BESSALA,VALERE MURIEL,bessala.valere.muriel@business.com,(325) 664-5044,ENY369,UI/UX Designer,50591,Standard,2026-12-31,Sales,Business Development,employee,1,password123,26,2.5,0,(858) 400-8727,08:00,17:00,1,,1984-11-08
BIKANG,ANTOINE,bikang.antoine@business.com,(789) 627-4223,ENY353,System Administrator,62641,Lead,2026-12-31,Marketing,Brand Management,employee,1,password123,27,2.5,0,1-751-459-6113,08:00,17:00,1,,1994-01-27
BILKISSOU,MOUSSA,bilkissou.moussa@enterprise.com,+1.513.442.3626,ENY383,Technical Writer,51023,Standard,2026-12-31,IT Department,Development Team,employee,1,password123,28,2.5,1,(897) 941-8733,08:00,17:00,1,,1991-10-04
BIYONG,JEAN NOEL,biyong.jean.noel@business.com,(390) 381-2645,ENY075,Database Administrator,59468,Senior,2026-12-31,Operations,Field Operations,employee,1,password123,29,2.5,1,+1.270.499.2125,08:00,17:00,1,,1999-10-23
BOYOMO,ABAGA PATRICCE,boyomo.abaga.patricce@group.com,+14154501961,ENY374,Project Manager,49581,Senior,2026-12-31,Sales,Business Development,employee,1,password123,30,2.5,0,(575) 533-4932,08:00,17:00,1,,1987-12-01
CHOUBOU,FANMOE YVAN STEVE,choubou.fanmoe.yvan.steve@business.com,(251) 679-7351,ENY010,Business Analyst,57999,Lead,2026-12-31,Sales,Business Development,employee,1,password123,31,2.5,0,1-543-317-5496,08:00,17:00,1,,1987-05-23
DEFO,WAFO LUCIEN FABRICE,defo.wafo.lucien.fabrice@enterprise.com,+1.885.804.7781,ENY057,Software Developer,94750,Executive,2026-12-31,Sales,Direct Sales,employee,1,password123,32,2.5,0,1-443-366-2974,08:00,17:00,1,,1997-08-06
DIN,DIN CHRISTIAN LEBO,din.din.christian.lebo@group.com,(663) 913-3671,ENY028,Marketing Specialist,50754,Senior,2026-12-31,Sales,Direct Sales,employee,1,password123,33,2.5,1,+12945368040,08:00,17:00,1,,1984-07-30
DJOB,NORBERT ARSENE,djob.norbert.arsene@enterprise.com,(301) 128-9799,ENY044,Database Administrator,85928,Executive,2026-12-31,IT Department,Project Management,employee,1,password123,34,2.5,0,+15855759067,08:00,17:00,1,,1992-08-24
DJULDENE,GERMAINE,djuldene.germaine@enterprise.com,+1.791.949.3101,ENY233,Business Analyst,95102,Executive,2026-12-31,Operations,Field Operations,employee,1,password123,25,2.5,0,+1.229.805.8439,08:00,17:00,1,,1985-08-20
EBOULE,MARTIN PAUL,eboule.martin.paul@corp.com,+1.310.366.4793,ENY378,Quality Assurance Engineer,50373,Standard,2026-12-31,Marketing,Digital Marketing,employee,1,password123,26,2.5,0,(929) 234-4424,08:00,17:00,1,,1990-04-30
ELOUNA,ALBERT LITANO,elouna.albert.litano@enterprise.com,+17684369378,ENY029,Operations Manager,55120,Senior,2026-12-31,IT Department,Project Management,employee,1,password123,27,2.5,0,+16833908289,08:00,17:00,1,,1999-01-30
EMBOLO,JEANNE CLAUDETTE,embolo.jeanne.claudette@corp.com,1-692-615-3902,ENY234,Business Analyst,91492,Executive,2026-12-31,Marketing,Brand Management,employee,1,password123,28,2.5,0,1-768-179-6139,08:00,17:00,1,,1988-03-16
ENDZODO,JEAN CHRISTIAN,endzodo.jean.christian@corp.com,(547) 870-1749,ENY309,Sales Representative,75019,Manager,2026-12-31,IT Department,Project Management,employee,1,password123,29,2.5,0,+14309540643,08:00,17:00,1,,1983-06-26
ENGBWANG,RENE CHARLIE,engbwang.rene.charlie@business.com,+14246869990,ENY077,Operations Manager,51069,Standard,2026-12-31,Sales,Direct Sales,employee,1,password123,30,2.5,1,(677) 727-3086,08:00,17:00,1,,1991-10-28
EPOH,THOMAS ERIC,epoh.thomas.eric@company.com,+1.392.728.8763,ENY364,DevOps Engineer,72440,Lead,2026-12-31,Operations,Customer Service,employee,1,password123,31,2.5,1,1-226-338-7062,08:00,17:00,1,,1999-04-19
